"Prognose bevolking; geslacht en leeftijd, 2017-2060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onderwerpen,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking
,Perioden,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Geslacht,Leeftijd,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal
Totaal mannen en vrouwen,15 jaar,205745,205012,204548,198299,192747,191163,187899,191439,191282,190616,186105,182115,177684,181520,177460,179013,181435,183317,186049,188223,190397,192752,194913,196790,198202,199238,199991,200513,200806,200832,200595,200100,199369,198410,197259,195997,194678,193381,192143,191012,190001,189164,188504,188086
Totaal mannen en vrouwen,16 jaar,210002,206919,205831,205259,198927,193261,191570,188274,191806,191650,190979,186474,182487,178068,181910,177888,179449,181871,183753,186482,188656,190822,193169,195329,197202,198609,199644,200398,200920,201213,201240,201004,200512,199782,198824,197678,196415,195100,193804,192568,191436,190426,189590,188931
Totaal mannen en vrouwen,17 jaar,205812,211273,207806,206624,205961,199516,193737,192012,188706,192233,192072,191402,186902,182919,178508,182357,178372,179944,182364,184247,186970,189143,191302,193644,195799,197667,199072,200107,200862,201383,201676,201704,201471,200980,200252,199295,198154,196890,195577,194281,193049,191917,190907,190072
Totaal mannen en vrouwen,18 jaar,207029,209108,214097,210483,209149,208314,201720,195882,194142,190830,194352,194196,193532,189041,185061,180664,184519,180596,182180,184600,186484,189200,191367,193523,195858,198005,199867,201267,202304,203059,203583,203876,203908,203679,203191,202465,201510,200375,199116,197804,196510,195280,194151,193146
Totaal mannen en vrouwen,19 jaar,204641,211964,213130,217864,214071,212545,211504,204870,199009,197264,193945,197471,197328,196668,192186,188216,183833,187696,183852,185447,187859,189747,192453,194607,196754,199077,201215,203070,204461,205500,206253,206778,207075,207108,206884,206402,205679,204730,203598,202342,201034,199746,198521,197394
Totaal mannen en vrouwen,20 jaar,206754,210810,216519,217083,221542,217577,215841,214756,208114,202252,200492,197180,200705,200569,199916,195446,191484,187122,190997,187264,188867,191264,193150,195839,197983,200117,202426,204553,206395,207778,208816,209568,210094,210396,210436,210216,209740,209023,208078,206955,205705,204403,203122,201902
Totaal mannen en vrouwen,21 jaar,209627,212894,216067,220472,220518,224717,220573,218802,217706,211091,205225,203465,200162,203686,203559,202912,198460,194511,190176,194061,190484,192097,194472,196360,199031,201157,203277,205567,207679,209511,210886,211922,212680,213210,213518,213566,213352,212888,212181,211245,210134,208890,207602,206331
Totaal mannen en vrouwen,22 jaar,217103,215608,218120,220303,223723,223417,227358,223273,221513,220439,213854,208006,206255,202963,206487,206367,205727,201301,197366,193066,196963,193569,195195,197541,199429,202080,204189,206294,208564,210661,212478,213847,214883,215645,216184,216501,216561,216359,215906,215211,214292,213193,211964,210688
Totaal mannen en vrouwen,23 jaar,217368,223233,220362,221947,223225,226096,225577,229556,225567,223856,222806,216259,210439,208703,205419,208939,208837,208206,203810,199894,195633,199541,196345,197984,200302,202191,204818,206910,208999,211248,213329,215129,216493,217530,218298,218845,219173,219247,219059,218624,217944,217039,215956,214744
Totaal mannen en vrouwen,24 jaar,220473,222092,227870,223699,224398,224983,227601,227302,231348,227475,225800,224782,218277,212498,210768,207499,211015,210926,210307,205940,202052,197823,201737,198747,200398,202685,204573,207175,209248,211321,213553,215617,217402,218758,219795,220569,221126,221464,221549,221377,220956,220291,219404,218339
