"Prognose bevolking; geslacht en leeftijd, 2017-2060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onderwerpen,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking
,Perioden,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Geslacht,Leeftijd,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal
Totaal mannen en vrouwen,60 jaar,222840,225977,230167,235680,236932,242899,244477,248310,251818,246607,242541,240775,242590,252867,246883,236556,225392,208243,200979,192428,190999,188914,191183,190548,196292,193362,188217,186873,191148,194144,199065,200342,199726,201594,208785,210025,209549,210195,213103,208252,208182,209542,213505,213977
Totaal mannen en vrouwen,61 jaar,216543,221320,224403,228564,234045,235280,241250,242828,246665,250163,245009,241003,239281,241097,251344,245408,235160,224075,207030,199817,191327,189923,187856,190124,189504,195233,192331,187208,185878,190141,193135,198050,199335,198731,200600,207773,209022,208561,209227,212139,207312,207247,208617,212571
Totaal mannen en vrouwen,62 jaar,212595,214955,219653,222730,226879,232338,233560,239541,241122,244966,248458,243368,239418,237741,239559,249780,243894,233730,222730,205792,198632,190207,188829,186785,189053,188449,194165,191289,186192,184876,189129,192123,197034,198332,197740,199610,206764,208024,207579,208263,211180,206378,206322,207700
Totaal mannen en vrouwen,63 jaar,208477,210870,213182,217845,220934,225078,230516,231736,237727,239314,243165,246650,241627,237745,236112,237935,248123,242289,232217,221302,204478,197377,189017,187666,185646,187914,187328,193029,190185,185115,183816,188059,191055,195961,197270,196688,198560,205697,206971,206540,207242,210169,205392,205346
Totaal mannen en vrouwen,64 jaar,207968,206600,208947,211250,215891,218997,223138,228556,229777,235781,237375,241230,244711,239760,235943,234360,236191,246343,240567,230588,219764,203066,196024,187736,186416,184421,186694,186122,191808,188998,183957,182677,186909,189903,194804,196123,195556,197431,204548,205833,205421,206142,209075,204323
Totaal mannen en vrouwen,65 jaar,199676,205894,204517,206857,209170,213795,216918,221057,226461,227684,233697,235299,239161,242640,237762,234015,232485,234323,244437,238725,228841,218116,201554,194575,186369,185077,183112,185388,184834,190500,187726,182720,181459,185680,188672,193568,194898,194345,196220,203316,204610,204217,204960,207900
Totaal mannen en vrouwen,66 jaar,199189,197507,203636,202299,204657,206987,211596,214740,218881,224267,225495,231517,233128,236998,240472,235671,231997,230526,232369,242443,236797,227016,216395,199974,193064,184940,183683,181748,184029,183496,189143,186406,181438,180199,184406,187399,192289,193630,193090,194968,202040,203347,202973,203737
Totaal mannen en vrouwen,67 jaar,200057,196807,195166,201247,199978,202359,204709,209305,212472,216613,221983,223216,229250,230874,234752,238222,233503,229904,228496,230345,240379,234803,225130,214615,198341,191503,183469,182247,180346,182633,182124,187754,185054,180127,178911,183108,186100,190984,192340,191817,193697,200748,202067,201713
Totaal mannen en vrouwen,68 jaar,204250,197477,194268,192713,198765,197570,199976,202348,206932,210120,214261,219618,220861,226906,228543,232429,235901,231265,227745,226401,228259,238251,232750,223192,212788,196667,189905,181961,180778,178912,181211,180726,186341,183682,178797,177604,181791,184787,189665,191037,190531,192414,199449,200783
Totaal mannen en vrouwen,69 jaar,212635,201390,194734,191610,190151,196176,195058,197486,199882,204453,207663,211804,217150,218410,224461,226113,230009,233483,228934,225498,224222,226088,236037,230614,221178,210892,194932,188248,180400,179258,177431,179735,179279,184878,182264,177421,176256,180432,183431,188306,189694,189205,191093,198114
Totaal mannen en vrouwen,70 jaar,216928,209411,198354,191855,188829,187471,193468,192423,194872,197295,201852,205087,209227,214563,215841,221897,223567,227474,230952,226498,223148,221940,223818,233724,228385,219073,208917,193126,186525,178778,177678,175892,178205,177776,183361,180795,175999,174862,179028,182033,186907,188308,187840,189736
Totaal mannen en vrouwen,71 jaar,153161,213343,205991,195160,188831,185905,184650,190612,189644,192112,194563,199107,202365,206504,211827,213124,219183,220875,224792,228273,223919,220660,219522,221414,231270,226021,216842,206822,191209,184700,177060,176001,174259,176582,176183,181750,179232,174488,173382,177537,180547,185418,186836,186390
Totaal mannen en vrouwen,72 jaar,157453,150392,209560,202402,191816,185663,182842,181686,187614,186727,189217,191695,196226,199505,203643,208951,210269,216330,218042,221968,225456,221206,218041,216978,218884,228690,223534,214497,204619,189195,182782,175254,174242,172544,174877,174510,180061,177595,172905,171831,175974,178991,183860,185294
Totaal mannen en vrouwen,73 jaar,146944,154354,147472,205588,198641,188305,182337,179621,178565,184457,183654,186167,188673,193191,196490,200624,205917,207256,213319,215052,218986,222479,218340,215275,214288,216211,225962,220908,212022,202293,187073,180759,173349,172386,170738,173080,172748,178278,175868,171237,170198,174331,177353,182217
Totaal mannen en vrouwen,74 jaar,133220,143772,151070,144384,201391,194660,184589,178809,176204,175251,181101,180384,182919,185454,189956,193274,197403,202677,204041,210099,211856,215797,219296,215271,212313,211405,213347,223037,218091,209367,199800,184795,178589,171306,170394,168797,171150,170854,176365,174013,169447,168445,172565,175595
Totaal mannen en vrouwen,75 jaar,124069,130036,140408,147598,141117,196943,190438,180644,175061,172574,171728,177531,176905,179459,182024,186508,189843,193967,199223,200613,206662,208444,212391,215893,211994,209148,208324,210286,219907,215081,206530,197133,182359,176271,169122,168264,166721,169085,168830,174320,172031,167534,166573,170680
Totaal mannen en vrouwen,76 jaar,123918,120788,126651,136830,143904,137634,192200,185925,176425,171050,168688,167953,173706,173173,175747,178337,182801,186153,190269,195504,196919,202955,204764,208716,212221,208455,205728,204993,206975,216522,211823,203458,194248,179722,173761,166757,165957,164473,166850,166639,172103,169883,165460,164544
Totaal mannen en vrouwen,77 jaar,115780,120262,117299,123052,133017,139959,133913,187112,181085,171901,166749,164520,163901,169597,169163,171756,174377,178816,182182,186288,191497,192943,198961,200800,204758,208267,204642,202045,201403,203407,212871,208311,200148,191139,176885,171061,164213,163475,162057,164445,164280,169716,167572,163232
Totaal mannen en vrouwen,78 jaar,109554,111958,116352,113562,119188,128918,135718,129906,181628,175869,167029,162115,160030,159531,165165,164835,167449,170098,174507,177887,181979,187160,188640,194633,196506,200464,203979,200508,198046,197503,199535,208907,204495,196550,187762,173807,168132,161453,160781,159431,161833,161717,167125,165059
Totaal mannen en vrouwen,79 jaar,98503,105458,107859,112154,109540,115029,124504,131140,125587,175713,170242,161770,157109,155178,154799,160361,160137,162768,165443,169818,173205,177280,182424,183942,189899,191808,195764,199282,195976,193658,193221,195282,204544,200299,192589,184047,170421,164909,158417,157814,156541,158956,158895,164269
Totaal mannen en vrouwen,80 jaar,93566,94339,101077,103465,107648,105217,110560,119746,126209,120933,169331,164167,156089,151692,149922,149663,155141,155026,157670,160368,164700,168094,172143,177240,178799,184706,186653,190602,194119,190990,188825,188501,190592,199729,195666,188211,179941,166678,161345,155059,154531,153341,155767,155767
Totaal mannen en vrouwen,81 jaar,86391,89083,89907,96408,98773,102833,100596,105769,114644,120918,115939,162465,157623,149963,145846,144242,144103,149485,149481,152136,154853,159134,162528,166545,171585,173187,179030,181015,184948,188462,185524,183524,183318,185439,194428,190568,183390,175417,162554,157420,151359,150911,149813,152249
Totaal mannen en vrouwen,82 jaar,80243,81694,84331,85200,91443,93778,97705,95653,100644,109180,115243,110579,155078,150571,143352,139526,138097,138078,143348,143460,146119,148849,153069,156454,160430,165399,167043,172805,174828,178737,182241,179508,177683,177597,179749,188571,184925,178053,170408,157986,153068,147254,146891,145890
Totaal mannen en vrouwen,83 jaar,73098,75303,76753,79319,80224,86183,88480,92245,90386,95175,103339,109170,104832,147145,142988,136234,132715,131465,131570,136712,136939,139593,142326,146470,149833,153758,158640,160324,165987,168042,171917,175403,172887,171244,171285,173464,182091,178680,172139,164850,152914,148233,142687,142415
Totaal mannen en vrouwen,84 jaar,68860,68001,70150,71586,74062,74989,80643,82868,86462,84793,89363,97120,102694,98698,138666,134875,128614,125412,124347,124572,129565,129905,132544,135265,139318,142644,146503,151278,153000,158540,160624,164450,167907,165620,164169,164335,166539,174943,171783,165599,158699,147295,142874,137617
Totaal mannen en vrouwen,85 jaar,61605,63432,62730,64803,66209,68580,69520,74827,76972,80375,78899,83231,90547,95840,92197,129666,126253,120508,117633,116757,117094,121915,122362,124968,127667,131608,134880,138654,143303,145055,150449,152553,156314,159728,157680,156428,156717,158940,167086,164193,158394,151912,141090,136950
Totaal mannen en vrouwen,86 jaar,55842,56109,57873,57316,59294,60656,62909,63833,68771,70822,74020,72737,76810,83655,88641,85361,120186,117158,111947,109406,108717,109155,113779,114321,116878,119535,123344,126543,130212,134710,136483,141701,143814,147491,150844,149042,147994,148401,150631,158484,155869,150481,144447,134257
Totaal mannen en vrouwen,87 jaar,47441,50223,50554,52234,51806,53672,54977,57079,57981,62533,64476,67455,66360,70156,76498,81158,78245,110303,107661,102992,100783,100272,100799,105197,105821,108313,110908,114562,117667,121209,125532,127313,132324,134431,138001,141277,139722,138879,139396,141624,149142,146816,141862,136301
Totaal mannen en vrouwen,88 jaar,41235,42059,44608,44978,46554,46243,47984,49204,51143,52013,56159,57980,60727,59811,63312,69121,73431,70888,100063,97802,93679,91794,91450,92048,96190,96883,99285,101796,105269,108255,111642,115761,117534,122303,124387,127824,130998,129692,129050,129663,131873,139011,136981,132485
Totaal mannen en vrouwen,89 jaar,34215,35959,36755,39056,39448,40903,40696,42279,43402,45168,45994,49722,51403,53906,53159,56348,61601,65540,63358,89565,87672,84091,82519,82324,82974,86830,87573,89864,92266,95531,98370,101574,105454,107200,111688,113726,117000,120046,118985,118534,119230,121402,128109,126379
Totaal mannen en vrouwen,90 jaar,29098,29287,30853,31604,33645,34043,35363,35228,36646,37665,39247,40019,43318,44850,47095,46505,49368,54051,57600,55767,78957,77411,74358,73079,73016,73698,77238,78011,80168,82434,85464,88127,91119,94728,96424,100595,102562,105644,108529,107703,107430,108191,110299,116527
Totaal mannen en vrouwen,91 jaar,23686,24407,24624,26004,26694,28473,28862,30024,29948,31196,32104,33499,34207,37078,38450,40433,39986,42516,46624,49770,48267,68446,67219,64666,63657,63703,64397,67597,68381,70378,72484,75253,77715,80468,83778,85398,89218,91089,93949,96645,96037,95925,96728,98746
Totaal mannen en vrouwen,92 jaar,19416,19428,20068,20294,21482,22100,23620,23972,24974,24945,26022,26815,28020,28656,31108,32313,34031,33710,35904,39441,42178,40976,58200,57258,55171,54403,54533,55216,58057,58827,60642,62563,65049,67284,69773,72754,74273,77712,79459,82067,84544,84130,84155,84976
Totaal mannen en vrouwen,93 jaar,15429,15556,15602,16153,16373,17374,17913,19170,19480,20325,20329,21238,21916,22935,23493,25542,26579,28039,27821,29685,32668,35001,34064,48463,47765,46099,45538,45727,46376,48848,49580,51196,52911,55099,57086,59291,61924,63316,66352,67948,70281,72511,72263,72395
Totaal mannen en vrouwen,94 jaar,11289,12049,12190,12254,12715,12917,13740,14186,15201,15467,16162,16187,16936,17501,18343,18820,20495,21367,22579,22443,23991,26450,28392,27682,39450,38954,37658,37267,37488,38086,40188,40861,42265,43761,45642,47369,49279,51553,52797,55419,56842,58882,60845,60730
Totaal mannen en vrouwen,95 jaar,8425,8580,9178,9317,9386,9761,9938,10587,10945,11743,11963,12519,12556,13157,13615,14293,14689,16023,16738,17718,17643,18896,20870,22445,21923,31296,30961,29982,29725,29955,30486,32227,32825,34012,35281,36857,38318,39929,41842,42923,45129,46364,48101,49785
Totaal mannen en vrouwen,96 jaar,6085,6193,6326,6782,6907,6973,7268,7409,7903,8181,8788,8964,9394,9435,9901,10261,10790,11108,12139,12705,13473,13441,14421,15957,17194,16825,24059,23846,23131,22975,23196,23648,25045,25556,26527,27568,28846,30042,31358,32917,33824,35623,36658,38091
Totaal mannen en vrouwen,97 jaar,3568,4301,4392,4500,4834,4939,4997,5213,5320,5683,5890,6334,6468,6788,6827,7176,7448,7845,8091,8858,9290,9869,9862,10602,11752,12686,12436,17814,17689,17188,17104,17300,17668,18746,19163,19926,20747,21745,22687,23720,24942,25673,27085,27918
Totaal mannen en vrouwen,98 jaar,2231,2412,2916,2988,3071,3307,3389,3432,3584,3662,3916,4064,4376,4474,4703,4738,4988,5185,5472,5655,6203,6519,6938,6946,7481,8308,8986,8826,12666,12602,12267,12231,12395,12682,13481,13807,14384,15006,15755,16468,17249,18171,18736,19802
Totaal mannen en vrouwen,99 jaar of ouder,3646,3678,3826,4251,4581,4860,5203,5483,5697,5939,6152,6462,6766,7174,7514,7896,8182,8549,8936,9396,9840,10513,11188,11935,12460,13190,14253,15442,16164,19244,21307,22515,23356,24087,24830,25931,26958,28110,29383,30830,32376,34044,35899,37646
Mannen,Totaal leeftijd,8477531,8537147,8581779,8619535,8651663,8678929,8701668,8723701,8745540,8767149,8788226,8808682,8828373,8847127,8864534,8880473,8894857,8907585,8918640,8927945,8935524,8941392,8945617,8948363,8949785,8950003,8949205,8947531,8945180,8942345,8939270,8936086,8932994,8930110,8927520,8925356,8923675,8922583,8922164,8922496,8923621,8925595,8928484,8932302
Mannen,0 jaar,88494,90101,91230,92772,93993,95181,96434,97582,98581,99323,99864,100255,100526,100670,100671,100537,100272,99878,99367,98757,98085,97386,96694,96032,95423,94878,94411,94040,93788,93669,93695,93864,94167,94583,95083,95639,96228,96823,97402,97942,98428,98848,99188,99446
Mannen,1 jaar,88031,89105,90543,91618,93113,94298,95448,96691,97839,98841,99584,100131,100525,100798,100943,100945,100814,100553,100162,99653,99046,98377,97679,96991,96330,95725,95185,94719,94353,94106,93991,94019,94191,94499,94915,95416,95972,96562,97155,97734,98273,98760,99178,99516
Mannen,2 jaar,90383,88707,89557,90916,91948,93409,94560,95700,96942,98092,99091,99837,100384,100782,101055,101201,101206,101077,100817,100430,99924,99320,98652,97956,97271,96613,96011,95474,95013,94651,94408,94296,94329,94505,94814,95233,95734,96292,96879,97471,98049,98590,99074,99492
Mannen,3 jaar,88991,90862,89025,89784,91091,92092,93519,94659,95793,97035,98184,99183,99927,100474,100870,101146,101293,101301,101173,100914,100531,100027,99424,98758,98065,97383,96730,96130,95597,95139,94783,94543,94435,94471,94650,94961,95382,95882,96440,97026,97617,98194,98735,99216
Mannen,4 jaar,91225,89356,91072,89202,89908,91175,92147,93563,94702,95837,97078,98224,99221,99965,100508,100904,101179,101330,101341,101215,100957,100574,100073,99470,98807,98115,97436,96787,96190,95661,95208,94854,94619,94517,94557,94738,95050,95472,95972,96529,97116,97704,98281,98820
Mannen,5 jaar,93391,91602,89572,91238,89349,90013,91245,92211,93625,94763,95899,97136,98280,99275,100017,100560,100954,101230,101384,101398,101274,101016,100635,100134,99534,98874,98183,97507,96859,96266,95740,95293,94943,94711,94614,94657,94840,95154,95577,96077,96633,97219,97806,98383
Mannen,6 jaar,95359,93830,91850,89777,91404,89503,90134,91358,92329,93744,94879,96012,97247,98388,99379,100119,100662,101058,101335,101490,101504,101380,101124,100743,100245,99647,98991,98302,97629,96985,96394,95872,95426,95078,94850,94754,94801,94988,95303,95727,96227,96782,97366,97952
Mannen,7 jaar,96069,95823,94106,92075,89971,91560,89640,90272,91497,92475,93890,95022,96155,97390,98523,99513,100249,100792,101187,101466,101620,101635,101511,101256,100876,100380,99782,99128,98442,97770,97129,96541,96021,95578,95233,95007,94913,94962,95151,95467,95892,96392,96946,97529
Mannen,8 jaar,96472,96530,96095,94333,92266,90132,91678,89776,90416,91648,92630,94044,95176,96306,97539,98669,99656,100390,100931,101328,101605,101758,101772,101648,101395,101017,100523,99927,99274,98590,97922,97283,96697,96180,95738,95395,95173,95083,95134,95325,95642,96066,96566,97120
Mannen,9 jaar,94318,96945,96828,96342,94547,92440,90277,91813,89941,90592,91827,92812,94226,95357,96485,97718,98844,99828,100560,101101,101496,101773,101925,101938,101817,101566,101188,100696,100100,99450,98768,98102,97465,96882,96366,95927,95586,95367,95279,95330,95522,95839,96264,96764
Mannen,10 jaar,96572,94761,97222,97060,96533,94702,92558,90390,91934,90088,90748,91984,92975,94388,95518,96645,97875,98996,99975,100704,101245,101638,101917,102069,102083,101963,101713,101337,100846,100252,99604,98924,98259,97623,97043,96527,96090,95751,95533,95446,95499,95693,96011,96436
Mannen,11 jaar,97260,96998,95015,97435,97239,96669,94800,92648,90487,92036,90214,90883,92122,93116,94525,95651,96775,98003,99122,100099,100826,101368,101760,102037,102189,102205,102085,101835,101461,100971,100380,99732,99053,98390,97754,97176,96660,96225,95888,95671,95586,95640,95835,96154
Mannen,12 jaar,100055,97718,97285,95255,97644,97409,96800,94921,92769,90617,92169,90368,91044,92287,93283,94689,95812,96933,98159,99274,100250,100975,101516,101907,102184,102337,102353,102233,101986,101613,101124,100533,99887,99210,98546,97912,97333,96819,96386,96050,95834,95751,95808,96003
Mannen,13 jaar,103819,100533,98024,97545,95480,97828,97551,96931,95052,92898,90755,92313,90533,91216,92458,93455,94861,95982,97099,98321,99436,100409,101133,101672,102063,102341,102494,102511,102391,102145,101773,101284,100696,100050,99375,98713,98079,97501,96988,96555,96221,96006,95925,95982
Mannen,14 jaar,104379,104332,100871,98324,97803,95691,97999,97710,97084,95207,93054,90917,92479,90720,91409,92652,93648,95053,96168,97286,98505,99620,100589,101311,101849,102239,102516,102671,102688,102571,102326,101953,101467,100880,100233,99560,98898,98264,97687,97176,96745,96411,96197,96119
Mannen,15 jaar,105224,104912,104679,101183,98605,98030,95871,98163,97873,97247,95368,93219,91090,92657,90914,91607,92851,93850,95252,96365,97480,98698,99808,100777,101498,102035,102426,102703,102857,102874,102757,102514,102142,101656,101072,100426,99752,99091,98458,97881,97371,96942,96610,96397
Mannen,16 jaar,107230,105829,105325,105053,101525,98894,98266,96085,98377,98087,97457,95583,93439,91313,92885,91158,91854,93097,94099,95499,96612,97722,98937,100048,101014,101733,102270,102661,102938,103092,103111,102994,102752,102381,101894,101315,100668,99996,99336,98704,98126,97616,97186,96855
Mannen,17 jaar,105635,107875,106285,105746,105436,101854,99171,98520,96332,98623,98331,97701,95830,93690,91567,93143,91432,92133,93375,94378,95777,96888,97993,99207,100316,101281,101998,102537,102930,103206,103360,103379,103264,103023,102653,102167,101589,100941,100271,99611,98981,98403,97892,97462
Mannen,18 jaar,106120,107125,109132,107492,106887,106500,102847,100131,99468,97275,99565,99276,98650,96783,94642,92526,94109,92424,93128,94372,95373,96770,97878,98983,100193,101299,102261,102975,103514,103906,104185,104339,104360,104248,104008,103638,103153,102578,101932,101261,100602,99972,99396,98887
Mannen,19 jaar,104179,108083,108809,110733,109029,108340,107858,104178,101449,100781,98580,100872,100591,99963,98100,95966,93854,95445,93794,94502,95741,96744,98136,99236,100338,101540,102642,103599,104309,104849,105239,105518,105673,105693,105582,105346,104976,104493,103919,103275,102605,101950,101322,100746
Mannen,20 jaar,105850,106275,109793,110416,112251,110472,109694,109179,105490,102760,102080,99878,102170,101890,101266,99407,97278,95175,96776,95169,95881,97113,98112,99495,100589,101684,102877,103973,104925,105628,106168,106555,106834,106989,107011,106903,106667,106299,105819,105247,104606,103936,103283,102657
Mannen,21 jaar,106171,107967,107933,111254,111760,113495,111641,110837,110310,106631,103899,103213,101012,103307,103028,102405,100554,98431,96342,97953,96407,97121,98342,99341,100715,101800,102888,104069,105157,106103,106802,107339,107728,108006,108164,108188,108081,107851,107485,107008,106441,105801,105136,104487
Mannen,22 jaar,109976,108516,109674,109389,112530,112931,114561,112710,111908,111386,107718,104997,104308,102113,104408,104128,103509,101668,99553,97478,99102,97624,98343,99552,100551,101914,102991,104070,105241,106321,107259,107953,108489,108878,109159,109321,109350,109247,109020,108658,108187,107623,106990,106331
Mannen,23 jaar,110111,112601,110376,111108,110603,113589,113895,115514,113696,112914,112401,108753,106043,105360,103166,105459,105183,104570,102743,100637,98581,100220,98818,99541,100738,101736,103088,104156,105226,106387,107460,108389,109082,109616,110005,110289,110455,110490,110392,110173,109817,109351,108794,108170
Mannen,24 jaar,111917,112866,114489,111734,112123,111458,114313,114646,116282,114513,113748,113247,109623,106937,106252,104064,106354,106084,105476,103666,101576,99535,101186,99871,100596,101781,102778,104116,105175,106236,107389,108454,109375,110063,110597,110989,111278,111448,111487,111396,111183,110835,110377,109830
Mannen,25 jaar,112971,114427,114679,115644,112510,112654,111858,114752,115132,116797,115071,114329,113840,110245,107571,106891,104715,106997,106736,106134,104338,102265,100238,101901,100672,101400,102574,103566,104892,105943,106994,108138,109195,110106,110790,111323,111716,112006,112181,112227,112144,111938,111596,111149
Mannen,26 jaar,113546,114903,116056,115773,116286,112918,112875,112145,115079,115510,117191,115512,114789,114313,110740,108081,107403,105240,107514,107261,106662,104880,102820,100810,102482,101331,102064,103226,104214,105529,106568,107610,108741,109788,110692,111371,111903,112298,112590,112769,112819,112741,112540,112204
Mannen,27 jaar,109327,115101,116213,117100,116423,116628,113094,113099,112438,115412,115884,117582,115947,115236,114767,111213,108569,107891,105743,108010,107762,107163,105394,103348,101353,103035,101960,102694,103842,104828,106132,107161,108193,109312,110347,111245,111918,112447,112843,113137,113319,113373,113299,113101
Mannen,28 jaar,108282,110750,116114,117061,117676,116696,116665,113252,113307,112715,115721,116230,117942,116345,115641,115180,111643,109012,108340,106202,108460,108218,107619,105865,103831,101849,103540,102535,103271,104408,105392,106685,107705,108727,109834,110862,111748,112418,112944,113339,113633,113818,113876,113805
Mannen,29 jaar,108899,109624,111619,116742,117506,117854,116613,116674,113363,113460,112921,115954,116495,118219,116652,115955,115500,111980,109364,108693,106566,108812,108574,107978,106234,104211,102245,103942,102999,103739,104866,105846,107129,108138,109151,110248,111263,112140,112803,113328,113722,114015,114200,114262
Mannen,30 jaar,107915,110114,110396,112120,117042,117636,117693,116512,116644,113413,113540,113046,116102,116669,118395,116850,116160,115706,112201,109598,108927,106809,109045,108808,108212,106478,104465,102511,104214,103331,104072,105186,106162,107434,108430,109433,110519,111522,112387,113044,113565,113956,114249,114432
Mannen,31 jaar,105680,108891,110751,110782,112299,117055,117448,117462,116338,116525,113357,113507,113053,116126,116707,118438,116914,116228,115776,112280,109687,109015,106900,109128,108891,108296,106569,104563,102617,104327,103498,104242,105344,106316,107580,108564,109556,110630,111621,112476,113123,113639,114026,114316
Mannen,32 jaar,104191,106471,109289,110984,110827,112198,116797,117155,117156,116075,116303,113188,113357,112936,116016,116609,118344,116839,116159,115706,112221,109636,108960,106852,109071,108835,108240,106519,104522,102587,104301,103524,104272,105363,106329,107586,108561,109542,110607,111586,112429,113071,113581,113965
Mannen,33 jaar,101073,104859,106733,109366,110936,110638,111878,116444,116794,116788,115751,116012,112940,113124,112724,115809,116412,118148,116663,115986,115536,112062,109483,108806,106703,108916,108680,108086,106374,104385,102462,104178,103453,104202,105285,106249,107495,108461,109430,110485,111457,112293,112928,113435
Mannen,34 jaar,101508,101622,105061,106744,109257,110725,110298,111517,116066,116416,116406,115415,115698,112662,112846,112465,115552,116164,117900,116432,115757,115305,111836,109263,108584,106487,108694,108460,107863,106158,104177,102262,103983,103303,104052,105127,106086,107323,108281,109243,110286,111247,112077,112705
Mannen,35 jaar,102797,101974,101706,104969,106526,108953,110322,109864,111073,115608,115961,115960,115007,115307,112290,112475,112104,115190,115812,117544,116089,115413,114961,111495,108927,108245,106153,108348,108114,107516,105820,103845,101937,103661,103022,103772,104836,105792,107017,107967,108919,109950,110902,111722
Mannen,36 jaar,104600,103223,102000,101549,104668,106135,108482,109834,109358,110558,115082,115449,115460,114541,114845,111844,112025,111665,114748,115376,117106,115662,114984,114528,111066,108502,107818,105729,107916,107682,107086,105393,103424,101522,103250,102650,103401,104457,105410,106623,107560,108504,109525,110466
Mannen,37 jaar,100988,104973,103295,101861,101287,104289,105667,108007,109358,108865,110057,114575,114961,114987,114092,114394,111403,111579,111226,114307,114939,116664,115230,114549,114091,110633,108073,107386,105302,107483,107248,106652,104962,103001,101105,102834,102271,103022,104068,105018,106220,107147,108081,109091
Mannen,38 jaar,100966,101387,105051,103245,101658,100996,103883,105244,107584,108939,108432,109617,114132,114538,114576,113699,113998,111015,111183,110836,113914,114547,116267,114842,114161,113701,110245,107686,107000,104919,107094,106861,106262,104577,102621,100732,102464,101933,102683,103723,104669,105861,106778,107705
Mannen,39 jaar,99285,101323,101468,104981,103092,101379,100637,103470,104825,107169,108525,108010,109192,113710,114128,114177,113315,113608,110632,110792,110451,113527,114163,115877,114460,113776,113316,109865,107307,106623,104547,106714,106482,105883,104201,102250,100366,102101,101602,102351,103383,104324,105508,106417
Mannen,40 jaar,100799,99597,101359,101382,104786,102833,101009,100246,103041,104390,106739,108094,107578,108756,113269,113700,113760,112908,113200,110228,110383,110044,113115,113754,115462,114052,113364,112906,109460,106906,106222,104147,106311,106078,105480,103802,101856,99977,101714,101246,101994,103018,103952,105131
Mannen,41 jaar,101048,101064,99629,101266,101204,104519,102502,100625,99847,102613,103958,106309,107670,107151,108322,112828,113276,113344,112502,112789,109823,109969,109631,112697,113336,115038,113634,112948,112490,109046,106498,105813,103745,105905,105670,105070,103398,101453,99583,101320,100879,101629,102645,103575
Mannen,42 jaar,105595,101288,101105,99583,101135,101001,104229,102198,100283,99495,102234,103578,105932,107300,106774,107940,112441,112902,112979,112145,112426,109463,109602,109267,112326,112964,114664,113265,112577,112122,108682,106139,105453,103390,105544,105308,104706,103038,101098,99232,100972,100556,101303,102314
Mannen,43 jaar,109312,105812,101307,101051,99468,100944,100737,103931,101895,99952,99157,101875,103218,105575,106948,106415,107580,112076,112550,112633,111808,112083,109120,109253,108921,111972,112610,114307,112914,112227,111770,108334,105799,105116,103054,105201,104964,104363,102699,100764,98902,100642,100253,100997
Mannen,44 jaar,118113,109417,105744,101178,100877,99245,100653,100420,103590,101555,99586,98785,101486,102829,105188,106568,106035,107196,111688,112174,112261,111443,111709,108754,108881,108551,111595,112234,113927,112539,111855,111397,107968,105440,104756,102698,104841,104603,104002,102343,100410,98555,100296,99926
Mannen,45 jaar,124747,118121,109270,105553,100958,100620,98945,100326,100078,103231,101200,99212,98409,101095,102435,104797,106183,105645,106806,111292,111788,111880,111068,111329,108376,108496,108168,111208,111848,113539,112156,111473,111015,107593,105068,104385,102329,104467,104231,103628,101974,100046,98195,99934
Mannen,46 jaar,130214,124694,117944,109056,105322,100704,100328,98641,100006,99751,102888,100863,98861,98059,100734,102072,104436,105827,105291,106449,110928,111430,111528,110720,110975,108025,108138,107814,110848,111491,113178,111800,111118,110662,107247,104725,104041,101988,104123,103887,103284,101633,99709,97860
Mannen,47 jaar,133562,130114,124484,117713,108811,105059,100418,100039,98346,99701,99442,102567,100548,98536,97734,100397,101732,104099,105497,104960,106116,110588,111096,111199,110397,110644,107697,107806,107482,110514,111156,112838,111466,110787,110332,106922,104404,103720,101670,103799,103564,102961,101313,99391
Mannen,48 jaar,127795,133423,129837,124196,117422,108513,104741,100105,99731,98039,99386,99123,102236,100226,98205,97399,100052,101383,103750,105151,104616,105766,110232,110746,110853,110053,110296,107351,107454,107132,110158,110800,112479,111112,110435,109982,106576,104061,103379,101332,103455,103221,102617,100972
